Name,AUID,Coords,Const,Type,Period,Mag
"KELT KC12C040759","--","21 08 02.80 +28 12 35.8","Vul","EA","1.678716","11.93 (0.010)g' V"
"KELT KC12C043387","--","21 14 09.82 +36 13 25.0","Cyg","EA","2.68831","12.48 (0.017) V"
"KELT KC12C045199","--","22 09 00.10 +29 24 48.4","Peg","EA","5.1671","11.59 (0.024)clear V"
"KELT KC12C045649","--","20 33 44.82 +27 23 19.6","Vul","EA","4.363021","12.35 (0.042) V"
"KELT KC12C047237","--","22 16 12.19 +22 55 01.2","Peg","EA","4.800092","9.79 (0.024) V"
"KELT KC12C047714","--","22 19 44.63 +31 12 45.9","Peg","EA","1.88","11.20 (0.026) V"
"KELT KC12C048925","--","20 20 14.76 +36 18 55.0","Cyg","EA","2.1134338","12.35 (0.020) V"
"KELT KC12C050223","--","21 15 38.20 +43 34 32.2","Cyg","EA","6.8257","9.85 (0.010) V"
"KELT KC13C00624","--","23 41 55.11 +34 38 51.4","And","EA","1.683308","11.25 (0.014) V"
"KELT KC13C00956","--","23 38 13.95 +32 50 20.3","And","EA","0.627916","9.16 (0.007) V"
"KELT KC13C04887","--","23 32 42.89 +35 33 20.1","And","EA","3.86953","10.40 (0.010) V"
"KELT KC13C05351","--","23 38 53.04 +29 47 38.7","Peg","EA","7.1008","12.45 (0.027) V"
"KELT KC13C10630","--","22 45 09.29 +42 01 10.5","Lac","EA","0.507078","11.06 (0.005) V"
"KELT KC13C12298","--","23 51 12.61 +25 53 50.1","Peg","EA","17.9676","11.11 (0.019) V"
"KELT KC13C22465","--","00 01 08.99 +29 03 09.3","Peg","EA","9.7999","11.40 (0.025) V"
"KELT KC16C011172","--","00 11 35.07 +63 56 03.9","Cas","EA","5.49889","10.01 (0.007) V"
"KELT KC16C014381","--","00 11 04.99 +63 42 50.1","Cas","EA","5.8189","11.33 (0.016) V"
"KELT KC16C030463","--","23 40 31.12 +61 34 40.8","Cas","EA","5.03733","11.26 (0.021) V"
"KELT KC16C032298","--","23 11 04.95 +54 35 55.7","Cas","EA","38.5592","11.52 (0.030)Rc V"
"KELT KC17C008394","--","01 14 39.62 +54 39 30.8","Cas","EA","6.60062","9.95 (0.014) V"
"KELT KC17C011677","--","01 38 50.10 +60 16 02.2","Cas","EA","1.36146","10.85 (0.007) V"
"KELT KC17C019332","--","03 20 59.75 +59 43 39.2","Cam","EA","1.4321957","11.01 (0.030) V"
"KELT KC17C027719","--","03 46 02.06 +55 26 59.4","Cam","EA","3.872069","11.58 (0.026) V"
"KELT KC17C030691","--","01 41 54.99 +64 20 33.1","Cas","EA","4.93301","11.76 (0.024) V"
"KELT KC17C031223","--","01 56 29.69 +58 54 47.6","Cas","EA","1.522976","12.09 (0.012) V"
"KELT KC17C034295","--","03 44 34.84 +50 15 09.9","Per","EA","0.630788","11.72 (0.021) V"
"KELT KC17C036193","--","02 29 19.86 +58 28 37.2","Per","EA","0.8513161","11.88 (0.014) V"
"KELT KC17C038052","--","02 39 15.59 +46 53 01.9","And","EA","2.788534","11.84 (0.031) V"
"KELT KC18C002297","--","04 21 42.87 +51 33 05.7","Per","EA","0.5337192","10.82 (0.008) V"
"KELT KC18C003632","--","06 26 41.82 +64 05 27.2","Cam","EA","0.71964","9.41 (0.005) V"
"KELT KC18C004131","--","04 26 35.18 +60 54 10.1","Cam","EA","1.967034","12.76 (0.009) V"
"KELT KC18C005941","--","05 59 20.31 +46 55 06.4","Aur","EA","0.8191694","8.00 (0.007) V"
"KELT KC18C008285","--","06 13 51.99 +44 34 41.1","Aur","EA","5.566037","9.55 (0.015) V"
"KELT KC18C009596","--","05 04 21.42 +53 57 56.5","Cam","EA","15.88731","10.81 (0.020) V"
"KELT KC18C010016","--","06 05 04.82 +65 07 17.3","Cam","EA","2.944357","11.73 (0.030) V"
"KELT KC18C011089","--","05 38 02.50 +54 13 36.5","Aur","EA","2.063519","10.75 (0.016) V"
"KELT KC18C012925","--","05 18 31.27 +68 24 39.0","Cam","EA","4.800865","11.18 (0.009) V"
"KELT KC18C013160","--","06 45 15.49 +61 29 32.4","Lyn","EA","3.959844","9.76 (0.006) V"
"KELT KC18C019742","--","05 20 20.73 +52 26 43.9","Aur","EA","2.393139","10.46 (0.005) V"
