Name,AUID,Coords,Const,Type,Period,Mag
"GDS_J1439478-605120","--","14 39 47.82 -60 51 20.1","Cen","VAR","--","14.29 (0.45) r"
"GDS_J1440314-574652","--","14 40 31.42 -57 46 52.2","Cen","VAR","--","14.48 (0.48) r"
"GDS_J1440318-574635","--","14 40 31.82 -57 46 35.8","Cen","VAR","--","15.98 (0.79) r"
"GDS_J1440444-585705","--","14 40 44.40 -58 57 05.7","Cen","VAR","--","15.04 (0.53) r"
"GDS_J1441098-593516","--","14 41 09.81 -59 35 16.4","Cen","VAR","--","13.77 (2.85) r"
"GDS_J1441127-593450","--","14 41 12.76 -59 34 50.7","Cen","VAR","--","14.88 (0.39) r"
"GDS_J1441498-621227","--","14 41 49.85 -62 12 27.0","Cir","VAR","--","15.70 (0.90) r"
"GDS_J1441540-621219","--","14 41 54.00 -62 12 19.5","Cir","VAR","--","12.09 (0.15) r"
"GDS_J1442128-604349","--","14 42 12.83 -60 43 49.6","Cir","VAR","--","14.83 (0.44) r"
"GDS_J1442284-580012","--","14 42 28.44 -58 00 12.8","Cir","VAR","--","13.11 (0.28) r"
"GDS_J1442305-580007","--","14 42 30.05 -58 00 07.9","Cir","VAR","--","13.27 (0.23) r"
"GDS_J1443248-575302","--","14 43 24.89 -57 53 02.8","Cir","VAR","--","12.93 (0.20) r"
"GDS_J1444007-575325","--","14 44 00.77 -57 53 25.7","Cir","VAR","--","16.93 (2.65) r"
"GDS_J1445095-625237","--","14 45 09.54 -62 52 37.6","Cir","VAR","--","15.22 (0.57) r"
"GDS_J1445114-625224","--","14 45 11.49 -62 52 24.0","Cir","VAR","--","13.87 (0.50) i"
"GDS_J1445138-625159","--","14 45 13.88 -62 51 59.9","Cir","VAR","--","13.97 (0.56) i"
"GDS_J1445393-611603","--","14 45 39.34 -61 16 03.0","Cir","VAR","--","16.69 (2.17) r"
"GDS_J1445408-611623","--","14 45 40.80 -61 16 23.7","Cir","VAR","--","14.89 (0.46) r"
"GDS_J1446091-615659","--","14 46 09.10 -61 56 59.6","Cir","VAR","--","10.83 (0.13) r"
"GDS_J1447305-615438","--","14 47 30.51 -61 54 38.1","Cir","VAR","--","14.73 (0.57) r"
"GDS_J1448019-603348","--","14 48 01.91 -60 33 48.2","Cir","VAR","--","15.08 (1.05) r"
"GDS_J1449135-614232","--","14 49 13.59 -61 42 32.2","Cir","VAR","--","14.38 (0.34) r"
"GDS_J1449153-614212","--","14 49 15.35 -61 42 12.1","Cir","VAR","--","15.35 (0.90) i"
"GDS_J1449221-625947","--","14 49 22.17 -62 59 47.6","Cir","VAR","--","14.66 (0.72) r"
"GDS_J1449235-625945","--","14 49 23.57 -62 59 45.1","Cir","VAR","--","14.37 (0.21) r"
"GDS_J1450582-595126","--","14 50 58.28 -59 51 26.6","Cir","VAR","--","11.68 (0.28) r"
"GDS_J1450586-595110","--","14 50 58.64 -59 51 10.6","Cir","VAR","--","15.23 (0.62) r"
"GDS_J1451042-615410","--","14 51 04.28 -61 54 10.6","Cir","VAR","--","12.94 (0.17) r"
"GDS_J1451061-615355","--","14 51 06.13 -61 53 55.5","Cir","VAR","--","15.27 (0.99) r"
"GDS_J1452235-561945","--","14 52 23.52 -56 19 45.9","Cir","VAR","--","15.48 (1.50) i"
"GDS_J1452264-561958","--","14 52 26.47 -56 19 58.2","Cir","VAR","--","14.04 (0.75) i"
"GDS_J1454048-615757","--","14 54 04.88 -61 57 57.7","Cir","VAR","--","15.93 (1.73) r"
"GDS_J1454058-615805","--","14 54 05.89 -61 58 05.0","Cir","VAR","--","15.32 (1.19) r"
"GDS_J1454375-571426","--","14 54 37.51 -57 14 26.4","Cir","VAR","--","13.67 (0.38) i"
"GDS_J1454407-571416","--","14 54 40.70 -57 14 16.0","Cir","VAR","--","15.77 (0.69) r"
"GDS_J1454501-575344","--","14 54 50.10 -57 53 44.9","Cir","VAR","--","15.22 (1.28) i"
"GDS_J1454508-575356","--","14 54 50.87 -57 53 56.5","Cir","VAR","--","11.85 (0.14) r"
"GDS_J1455275-555442","--","14 55 27.59 -55 54 42.9","Cir","VAR","--","13.37 (0.20) r"
"GDS_J1455289-555505","--","14 55 28.92 -55 55 05.8","Cir","VAR","--","14.34 (1.01) r"
"GDS_J1457486-605553","--","14 57 48.66 -60 55 53.0","Cir","VAR","--","15.75 (1.06) r"
"GDS_J1458410-611537","--","14 58 41.00 -61 15 37.2","Cir","VAR","--","17.62 (3.24) r"
"GDS_J1458416-611514","--","14 58 41.61 -61 15 14.8","Cir","VAR","--","15.01 (0.33) r"
"GDS_J1459155-611026","--","14 59 15.55 -61 10 26.4","Cir","VAR","--","12.54 (0.20) r"
"GDS_J1459193-611028","--","14 59 19.32 -61 10 28.7","Cir","VAR","--","14.75 (0.54) r"
"GDS_J1501152-595359","--","15 01 15.29 -59 53 59.1","Cir","VAR","--","14.72 (0.77) r"
"GDS_J1501164-595342","--","15 01 16.46 -59 53 42.2","Cir","VAR","--","11.66 (0.36) r"
"GDS_J1501553-610953","--","15 01 55.36 -61 09 53.7","Cir","VAR","--","15.74 (0.73) r"
"GDS_J1501589-610950","--","15 01 58.92 -61 09 50.3","Cir","VAR","--","15.90 (1.06) r"
"GDS_J1504582-615651","--","15 04 58.23 -61 56 51.6","Cir","VAR","--","15.49 (1.00) r"
"GDS_J1504597-615648","--","15 04 59.72 -61 56 48.9","Cir","VAR","--","16.05 (1.27) r"
"GDS_J1505323-611727","--","15 05 32.03 -61 17 27.6","Cir","VAR","--","14.80 (0.33) r"
"GDS_J1505333-611747","--","15 05 33.39 -61 17 47.3","Cir","VAR","--","14.73 (0.80) r"
"GDS_J1505383-560506","--","15 05 38.39 -56 05 06.4","Cir","VAR","--","13.32 (0.27) r"
"GDS_J1505386-560521","--","15 05 38.65 -56 05 21.8","Cir","VAR","--","15.09 (0.50) r"
"GDS_J1505466-582325","--","15 05 46.68 -58 23 25.7","Cir","VAR","--","15.53 (4.54) i"
"GDS_J1506118-610206","--","15 06 11.82 -61 02 06.1","Cir","VAR","--","14.62 (0.83) i"
"GDS_J1506216-585558","--","15 06 21.66 -58 55 58.8","Cir","VAR","--","15.28 (1.27) i"
"GDS_J1506217-585621","--","15 06 21.72 -58 56 21.9","Cir","VAR","--","14.64 (0.41) r"
"GDS_J1506436-601044","--","15 06 43.62 -60 10 44.7","Cir","VAR","--","11.73 (2.45) r"
"GDS_J1506444-601100","--","15 06 44.48 -60 11 00.1","Cir","VAR","--","16.27 (1.83) r"
"GDS_J1506463-601125","--","15 06 46.32 -60 11 25.7","Cir","VAR","--","15.56 (0.99) r"
"GDS_J1506544-592038","--","15 06 54.45 -59 20 38.2","Cir","VAR","--","16.04 (1.25) r"
"GDS_J1506554-592027","--","15 06 55.48 -59 20 27.1","Cir","VAR","--","13.51 (0.20) r"
"GDS_J1507058-603856","--","15 07 05.88 -60 38 56.8","Cir","VAR","--","12.84 (0.14) r"
"GDS_J1507064-600220","--","15 07 06.40 -60 02 20.6","Cir","VAR","--","14.54 (0.76) i"
"GDS_J1507082-600239","--","15 07 08.22 -60 02 39.8","Cir","VAR","--","16.24 (1.57) r"
"GDS_J1507085-603905","--","15 07 08.05 -60 39 05.9","Cir","VAR","--","15.05 (1.05) i"
"GDS_J1508061-561154","--","15 08 06.12 -56 11 54.4","Cir","VAR","--","14.47 (0.83) i"
"GDS_J1509019-545534","--","15 09 01.90 -54 55 34.1","Lup","VAR","--","15.39 (0.55) r"
"GDS_J1509049-545606","--","15 09 04.95 -54 56 06.8","Lup","VAR","--","15.23 (0.57) r"
"GDS_J1510411-565423","--","15 10 41.15 -56 54 23.8","Cir","VAR","--","14.80 (0.75) i"
"GDS_J1514311-594324","--","15 14 31.13 -59 43 24.6","Cir","VAR","--","14.84 (0.44) r"
"GDS_J1514352-594351","--","15 14 35.29 -59 43 51.1","Cir","VAR","--","15.45 - ? r"
"GDS_J1515069-592250","--","15 15 06.93 -59 22 50.6","Cir","VAR","--","14.53 (0.97) i"
"GDS_J1516245-551545","--","15 16 24.56 -55 15 45.1","Nor","VAR","--","15.07 (0.94) i"
"GDS_J1517342-553706","--","15 17 34.22 -55 37 06.3","Cir","VAR","--","9.05 (0.17) r"
"GDS_J1517346-553710","--","15 17 34.63 -55 37 10.7","Cir","VAR","--","9.69 (0.26) r"
"GDS_J1518078-584318","--","15 18 07.86 -58 43 18.4","Cir","VAR","--","15.25 (0.48) r"
"GDS_J1518136-552046","--","15 18 13.61 -55 20 46.8","Nor","VAR","--","14.72 (0.59) r"
"GDS_J1518137-552029","--","15 18 13.75 -55 20 29.9","Nor","VAR","--","16.73 (1.19) r"
"GDS_J1518541-602924","--","15 18 54.18 -60 29 24.7","Cir","VAR","--","14.44 (0.66) i"
"GDS_J1518541-602952","--","15 18 54.18 -60 29 52.8","Cir","VAR","--","14.16 (0.61) i"
"GDS_J1518565-602946","--","15 18 56.54 -60 29 46.7","Cir","VAR","--","15.36 (0.82) r"
"GDS_J1519507-602901","--","15 19 50.74 -60 29 01.5","Cir","VAR","--","16.56 (1.72) r"
"GDS_J1520082-572411","--","15 20 08.22 -57 24 11.4","Cir","VAR","--","15.22 (0.59) r"
"GDS_J1522577-603841","--","15 22 57.74 -60 38 41.7","Cir","VAR","--","14.00 (0.43) r"
"GDS_J1522596-603845","--","15 22 59.06 -60 38 45.3","Cir","VAR","--","15.12 (0.62) r"
"GDS_J1523024-603844","--","15 23 02.40 -60 38 44.0","Cir","VAR","--","15.21 (0.75) r"
"GDS_J1523056-603837","--","15 23 05.63 -60 38 37.9","Cir","VAR","--","15.61 (1.12) r"
"GDS_J1523307-591849","--","15 23 30.71 -59 18 49.0","Cir","VAR","--","14.12 (0.46) r"
"GDS_J1523313-591835","--","15 23 31.36 -59 18 35.5","Cir","VAR","--","14.82 (0.49) r"
"GDS_J1523375-603203","--","15 23 37.56 -60 32 03.3","Cir","VAR","--","10.91 (0.14) r"
"GDS_J1523394-603153","--","15 23 39.42 -60 31 53.8","Cir","VAR","--","11.89 (0.12) r"
"GDS_J1524311-545640","--","15 24 31.11 -54 56 40.2","Nor","VAR","--","14.47 (0.76) r"
"GDS_J1524338-545629","--","15 24 33.87 -54 56 29.6","Nor","VAR","--","12.01 (0.17) r"
"GDS_J1525569-574152","--","15 25 56.98 -57 41 52.5","Cir","VAR","--","14.97 (0.93) r"
"GDS_J1526003-574152","--","15 26 00.33 -57 41 52.5","Cir","VAR","--","15.11 (0.62) r"
"GDS_J1526371-533450","--","15 26 37.18 -53 34 50.6","Lup","VAR","--","16.17 (1.20) r"
"GDS_J1526523-531431","--","15 26 52.37 -53 14 31.1","Lup","VAR","--","15.19 (0.55) r"
"GDS_J1526531-531459","--","15 26 53.11 -53 14 59.6","Lup","VAR","--","15.28 (1.44) i"
"GDS_J1529524-590439","--","15 29 52.48 -59 04 39.8","Cir","VAR","--","14.29 (0.62) i"
"GDS_J1532197-532806","--","15 32 19.72 -53 28 06.2","Nor","VAR","--","15.47 (0.76) r"
"GDS_J1532219-532802","--","15 32 21.93 -53 28 02.1","Nor","VAR","--","15.36 (0.67) r"
"GDS_J1532495-582114","--","15 32 49.51 -58 21 14.2","Nor","VAR","--","13.42 (1.14) r"
"GDS_J1532513-582125","--","15 32 51.36 -58 21 25.2","Nor","VAR","--","14.38 (0.84) i"
"GDS_J1534489-572010","--","15 34 48.94 -57 20 10.1","Nor","VAR","--","12.29 (3.52) r"
"GDS_J1534494-584916","--","15 34 49.48 -58 49 16.7","Nor","VAR","--","15.52 (0.77) r"
"GDS_J1534498-584835","--","15 34 49.82 -58 48 35.2","Nor","VAR","--","13.53 (0.32) r"
"GDS_J1535091-581458","--","15 35 09.14 -58 14 58.3","Nor","VAR","--","16.66 (1.21) r"
"GDS_J1535208-591439","--","15 35 20.88 -59 14 39.4","Nor","VAR","--","15.24 (0.62) r"
"GDS_J1535219-591457","--","15 35 21.94 -59 14 57.5","Nor","VAR","--","14.50 (0.52) r"
"GDS_J1535504-582843","--","15 35 50.04 -58 28 43.0","Nor","VAR","--","14.98 (0.45) r"
"GDS_J1535531-582825","--","15 35 53.11 -58 28 25.5","Nor","VAR","--","15.81 (0.95) r"
"GDS_J1535591-580134","--","15 35 59.17 -58 01 34.5","Nor","VAR","--","14.76 (0.58) r"
"GDS_J1535599-580126","--","15 35 59.90 -58 01 26.9","Nor","VAR","--","14.80 (0.54) r"
"GDS_J1536587-564934","--","15 36 58.07 -56 49 34.8","Nor","VAR","--","13.32 (0.21) r"
"GDS_J1537008-564942","--","15 37 00.81 -56 49 42.8","Nor","VAR","--","13.79 (0.41) r"
"GDS_J1537054-533929","--","15 37 05.04 -53 39 29.9","Nor","VAR","--","15.44 (0.59) r"
"GDS_J1537593-583743","--","15 37 59.33 -58 37 43.6","Nor","VAR","--","14.12 (0.53) r"
"GDS_J1537595-583733","--","15 37 59.57 -58 37 33.2","Nor","VAR","--","13.81 (0.23) r"
"GDS_J1539372-520146","--","15 39 37.22 -52 01 46.5","Nor","VAR","--","15.76 (0.73) r"
"GDS_J1539514-514927","--","15 39 51.45 -51 49 27.4","Nor","VAR","--","15.99 (1.45) r"
"GDS_J1540239-582101","--","15 40 23.09 -58 21 01.4","Nor","VAR","--","15.35 (0.45) r"
"GDS_J1540255-582041","--","15 40 25.53 -58 20 41.1","Nor","VAR","--","14.74 (1.02) i"
"GDS_J1541075-580452","--","15 41 07.59 -58 04 52.7","Nor","VAR","--","14.34 (0.63) r"
"GDS_J1541087-580442","--","15 41 08.72 -58 04 42.9","Nor","VAR","--","13.79 (0.26) r"
"GDS_J1541096-514217","--","15 41 09.61 -51 42 17.8","Nor","VAR","--","12.90 (0.49) r"
"GDS_J1541108-514232","--","15 41 10.80 -51 42 32.5","Nor","VAR","--","16.92 (2.27) r"
"GDS_J1541292-555633","--","15 41 29.22 -55 56 33.9","Nor","VAR","--","13.97 (0.33) r"
"GDS_J1541316-555651","--","15 41 31.61 -55 56 51.4","Nor","VAR","--","13.91 (0.20) r"
"GDS_J1542186-571347","--","15 42 18.69 -57 13 47.0","Nor","VAR","--","14.09 (1.90) r"
"GDS_J1542199-571349","--","15 42 19.96 -57 13 49.5","Nor","VAR","--","15.12 (0.45) r"
"GDS_J1543016-542258","--","15 43 01.60 -54 22 58.6","Nor","VAR","--","16.61 (1.74) r"
"GDS_J1543016-542312","--","15 43 01.68 -54 23 12.9","Nor","VAR","--","12.83 (0.70) r"
"GDS_J1543496-514615","--","15 43 49.06 -51 46 15.5","Nor","VAR","--","14.49 (0.36) r"
"GDS_J1545297-580843","--","15 45 29.73 -58 08 43.8","Nor","VAR","--","15.52 (2.15) r"
"GDS_J1547254-543951","--","15 47 25.40 -54 39 51.0","Nor","VAR","--","14.09 (4.22) r"
"GDS_J1547583-572412","--","15 47 58.38 -57 24 12.8","Nor","VAR","--","13.54 (0.69) r"
"GDS_J1547599-573305","--","15 47 59.94 -57 33 05.2","Nor","VAR","--","15.01 (0.34) r"
"GDS_J1548036-572423","--","15 48 03.62 -57 24 23.8","Nor","VAR","--","12.67 (0.36) r"
"GDS_J1548045-570842","--","15 48 04.58 -57 08 42.6","Nor","VAR","--","12.10 (0.28) r"
"GDS_J1548061-570906","--","15 48 06.14 -57 09 06.7","Nor","VAR","--","12.02 (0.12) r"
"GDS_J1548294-572635","--","15 48 29.44 -57 26 35.2","Nor","VAR","--","15.43 (0.58) r"
"GDS_J1548309-572646","--","15 48 30.09 -57 26 46.0","Nor","VAR","--","15.02 (2.33) r"
"GDS_J1548522-573609","--","15 48 52.28 -57 36 09.6","Nor","VAR","--","13.23 (0.40) r"
"GDS_J1548535-573553","--","15 48 53.51 -57 35 53.2","Nor","VAR","--","15.25 (0.62) r"
"GDS_J1550414-532045","--","15 50 41.48 -53 20 45.1","Nor","VAR","--","14.54 (0.55) i"
"GDS_J1550438-532043","--","15 50 43.85 -53 20 43.5","Nor","VAR","--","9.93 (0.21) r"
"GDS_J1551232-563039","--","15 51 23.24 -56 30 39.2","Nor","VAR","--","17.05 (1.79) r"
"GDS_J1551522-582227","--","15 51 52.26 -58 22 27.2","Nor","VAR","--","15.16 (0.55) r"
"GDS_J1552524-563519","--","15 52 52.42 -56 35 19.0","Nor","VAR","--","17.00 (1.99) r"
"GDS_J1552545-562812","--","15 52 54.59 -56 28 12.8","Nor","VAR","--","16.89 (2.43) r"
"GDS_J1553062-555559","--","15 53 06.27 -55 55 59.5","Nor","VAR","--","16.99 (2.09) r"
"GDS_J1553554-563544","--","15 53 55.41 -56 35 44.4","Nor","VAR","--","16.73 (1.96) r"
"GDS_J1554107-575545","--","15 54 10.71 -57 55 45.4","Nor","VAR","--","15.97 (0.90) r"
"GDS_J1554114-575527","--","15 54 11.48 -57 55 27.3","Nor","VAR","--","14.12 (0.68) i"
"GDS_J1554257-564421","--","15 54 25.75 -56 44 21.0","Nor","VAR","--","16.45 (3.00) r"
"GDS_J1554272-564446","--","15 54 27.02 -56 44 46.4","Nor","VAR","--","13.22 (0.56) i"
"GDS_J1554428-552902","--","15 54 42.88 -55 29 02.4","Nor","VAR","--","13.15 (0.34) r"
"GDS_J1555057-485216","--","15 55 05.75 -48 52 16.3","Nor","VAR","--","16.18 (3.15) r"
"GDS_J1555356-514603","--","15 55 35.06 -51 46 03.2","Nor","VAR","--","16.01 (1.43) r"
"GDS_J1555363-514619","--","15 55 36.37 -51 46 19.4","Nor","VAR","--","15.85 (1.33) r"
"GDS_J1555371-514623","--","15 55 37.18 -51 46 23.4","Nor","VAR","--","15.82 (1.15) r"
"GDS_J1600250-553428","--","16 00 25.00 -55 34 28.2","Nor","VAR","--","15.09 (0.62) r"
"GDS_J1600277-553439","--","16 00 27.72 -55 34 39.4","Nor","VAR","--","15.36 (1.18) i"
"GDS_J1600585-554836","--","16 00 58.52 -55 48 36.1","Nor","VAR","--","12.45 (0.42) r"
"GDS_J1601031-552337","--","16 01 03.13 -55 23 37.9","Nor","VAR","--","13.89 (0.61) i"
"GDS_J1601035-552348","--","16 01 03.51 -55 23 48.3","Nor","VAR","--","14.41 (3.02) i"
"GDS_J1601056-554259","--","16 01 05.64 -55 42 59.1","Nor","VAR","--","12.16 (0.47) r"
"GDS_J1601064-554314","--","16 01 06.48 -55 43 14.8","Nor","VAR","--","13.85 (0.45) i"
"GDS_J1601074-565150","--","16 01 07.44 -56 51 50.9","Nor","VAR","--","13.60 (0.42) r"
"GDS_J1601092-565155","--","16 01 09.22 -56 51 55.3","Nor","VAR","--","13.97 (0.30) r"
"GDS_J1601591-521304","--","16 01 59.19 -52 13 04.0","Nor","VAR","--","14.32 (0.19) r"
"GDS_J1603169-560433","--","16 03 16.93 -56 04 33.7","Nor","VAR","--","13.19 (0.45) r"
"GDS_J1604549-515755","--","16 04 54.92 -51 57 55.7","Nor","VAR","--","16.30 (1.52) r"
"GDS_J1605051-514413","--","16 05 05.12 -51 44 13.5","Nor","VAR","--","14.83 (0.62) r"
"GDS_J1605093-562045","--","16 05 09.31 -56 20 45.3","Nor","VAR","--","14.21 (0.60) i"
"GDS_J1605189-532430","--","16 05 18.92 -53 24 30.1","Nor","VAR","--","14.51 (0.30) r"
"GDS_J1605434-535154","--","16 05 43.49 -53 51 54.9","Nor","VAR","--","16.30 - ? r"
"GDS_J1606195-532645","--","16 06 19.59 -53 26 45.6","Nor","VAR","--","13.80 (0.22) r"
"GDS_J1606221-532704","--","16 06 22.18 -53 27 04.3","Nor","VAR","--","13.34 (0.16) r"
"GDS_J1607025-530345","--","16 07 02.05 -53 03 45.2","Nor","VAR","--","9.51 (0.11) r"
"GDS_J1607038-530401","--","16 07 03.80 -53 04 01.2","Nor","VAR","--","14.27 (0.50) i"
"GDS_J1607219-542951","--","16 07 21.98 -54 29 51.0","Nor","VAR","--","14.03 (0.93) r"
"GDS_J1607231-514937","--","16 07 23.14 -51 49 37.0","Nor","VAR","--","16.27 (2.71) r"
"GDS_J1607245-514936","--","16 07 24.59 -51 49 36.6","Nor","VAR","--","12.26 (0.17) r"
"GDS_J1607427-524631","--","16 07 42.72 -52 46 31.6","Nor","VAR","--","15.62 (0.77) r"
"GDS_J1607436-513448","--","16 07 43.69 -51 34 48.1","Nor","VAR","--","16.50 (3.01) r"
"GDS_J1607452-524914","--","16 07 45.00 -52 49 14.5","Nor","CST","--","17.1 - ? V"
"GDS_J1607579-550042","--","16 07 57.99 -55 00 42.5","Nor","VAR","--","14.45 (0.31) r"
"GDS_J1607584-550736","--","16 07 58.48 -55 07 36.4","Nor","VAR","--","13.92 (0.34) r"
"GDS_J1607591-550049","--","16 07 59.16 -55 00 49.8","Nor","VAR","--","15.23 (0.63) r"
"GDS_J1608034-525321","--","16 08 03.40 -52 53 21.3","Nor","VAR","--","16.60 (2.20) r"
"GDS_J1608045-525256","--","16 08 04.56 -52 52 56.2","Nor","VAR","--","15.80 (2.24) i"
"GDS_J1608047-530451","--","16 08 04.70 -53 04 51.4","Nor","VAR","--","12.72 (1.07) r"
"GDS_J1608062-525502","--","16 08 06.25 -52 55 02.0","Nor","VAR","--","16.39 (1.48) r"
"GDS_J1608096-525509","--","16 08 09.65 -52 55 09.1","Nor","VAR","--","16.17 (1.37) r"
"GDS_J1608145-530416","--","16 08 14.58 -53 04 16.9","Nor","VAR","--","14.01 (0.17) r"
"GDS_J1610463-525905","--","16 10 46.30 -52 59 05.5","Nor","VAR","--","12.07 (0.11) r"
"GDS_J1610475-484802","--","16 10 47.51 -48 48 02.0","Nor","VAR","--","15.36 (0.72) r"
"GDS_J1611177-544726","--","16 11 17.72 -54 47 26.6","Nor","VAR","--","14.06 (0.25) r"
"GDS_J1611197-471706","--","16 11 19.71 -47 17 06.2","Nor","VAR","--","15.40 (0.77) r"
"GDS_J1611596-513943","--","16 11 59.06 -51 39 43.8","Nor","VAR","--","12.15 (0.17) r"
"GDS_J1612021-513933","--","16 12 02.01 -51 39 33.9","Nor","VAR","--","11.96 (0.10) r"
"GDS_J1612082-541530","--","16 12 08.23 -54 15 30.0","Nor","VAR","--","13.81 (0.24) r"
"GDS_J1612176-542723","--","16 12 17.61 -54 27 23.1","Nor","VAR","--","15.04 - ? r"
"GDS_J1612463-541814","--","16 12 46.36 -54 18 14.7","Nor","VAR","--","15.82 (0.87) r"
"GDS_J1612532-533637","--","16 12 53.25 -53 36 37.7","Nor","VAR","--","9.75 (0.26) r"
"GDS_J1612559-533633","--","16 12 55.91 -53 36 33.3","Nor","VAR","--","15.74 (0.99) r"
"GDS_J1613098-532338","--","16 13 09.84 -53 23 38.2","Nor","VAR","--","13.78 (0.36) r"
"GDS_J1613197-533944","--","16 13 19.72 -53 39 44.2","Nor","VAR","--","14.18 (0.47) r"
"GDS_J1613555-533423","--","16 13 55.54 -53 34 23.5","Nor","VAR","--","14.55 - ? r"
"GDS_J1614063-495939","--","16 14 06.31 -49 59 39.8","Nor","VAR","--","13.86 (0.37) r"
"GDS_J1614063-535458","--","16 14 06.32 -53 54 58.4","Nor","VAR","--","14.69 (0.80) i"
"GDS_J1614085-533616","--","16 14 08.55 -53 36 16.5","Nor","VAR","--","13.80 (0.56) i"
"GDS_J1614146-533634","--","16 14 14.65 -53 36 34.1","Nor","VAR","--","14.83 (0.60) r"
"GDS_J1614201-494803","--","16 14 20.14 -49 48 03.0","Nor","VAR","--","11.35 (0.15) r"
"GDS_J1614204-494808","--","16 14 20.43 -49 48 08.0","Nor","VAR","--","12.52 (0.20) r"
"GDS_J1614315-541245","--","16 14 31.58 -54 12 45.6","Nor","VAR","--","14.34 (0.59) i"
"GDS_J1614436-491137","--","16 14 43.65 -49 11 37.7","Nor","VAR","--","14.75 (0.44) r"
"GDS_J1615195-543541","--","16 15 19.51 -54 35 41.9","Nor","VAR","--","15.38 (1.30) r"
"GDS_J1615294-533435","--","16 15 29.43 -53 34 35.5","Nor","VAR","--","15.06 - ? r"
"GDS_J1615295-541637","--","16 15 29.54 -54 16 37.2","Nor","VAR","--","13.68 (0.28) r"
"GDS_J1615415-542630","--","16 15 41.50 -54 26 30.4","Nor","VAR","--","14.50 (0.62) i"
"GDS_J1615471-533529","--","16 15 47.16 -53 35 29.3","Nor","VAR","--","15.16 (0.88) r"
"GDS_J1615563-540606","--","16 15 56.03 -54 06 06.2","Nor","VAR","--","15.31 (0.51) r"
"GDS_J1615595-510706","--","16 15 59.56 -51 07 06.1","Nor","VAR","--","12.63 (0.28) r"
"GDS_J1616138-513641","--","16 16 13.85 -51 36 41.5","Nor","VAR","--","12.70 (0.26) r"
"GDS_J1616435-523932","--","16 16 43.05 -52 39 32.6","Nor","VAR","--","13.59 (0.23) r"
"GDS_J1616451-534922","--","16 16 45.16 -53 49 22.2","Nor","VAR","--","14.21 (0.50) r"
"GDS_J1616472-534801","--","16 16 47.27 -53 48 01.6","Nor","VAR","--","14.54 (0.41) r"
"GDS_J1617015-532951","--","16 17 01.58 -53 29 51.8","Nor","VAR","--","15.58 (0.59) r"
"GDS_J1617402-540006","--","16 17 40.02 -54 00 06.3","Nor","VAR","--","14.77 (0.34) r"
"GDS_J1617510-541130","--","16 17 51.00 -54 11 30.9","Nor","VAR","--","12.14 (0.13) r"
"GDS_J1617597-542133","--","16 17 59.70 -54 21 33.9","Nor","VAR","--","12.31 (0.26) r"
"GDS_J1618068-534042","--","16 18 06.84 -53 40 42.4","Nor","VAR","--","14.71 (0.78) i"
"GDS_J1618079-531125","--","16 18 07.90 -53 11 25.4","Nor","VAR","--","15.50 (1.08) r"
"GDS_J1618193-531133","--","16 18 19.31 -53 11 33.2","Nor","VAR","--","13.81 (0.54) i"
"GDS_J1618195-534313","--","16 18 19.57 -53 43 13.8","Nor","VAR","--","14.83 (3.15) i"
"GDS_J1618197-534258","--","16 18 19.72 -53 42 58.9","Nor","VAR","--","13.22 (0.60) r"
"GDS_J1618253-531633","--","16 18 25.37 -53 16 33.1","Nor","VAR","--","14.09 (0.30) r"
"GDS_J1618374-533740","--","16 18 37.44 -53 37 40.5","Nor","VAR","--","14.23 (0.68) i"
"GDS_J1618434-513440","--","16 18 43.46 -51 34 40.9","Nor","VAR","--","13.75 (0.56) r"
"GDS_J1618454-531812","--","16 18 45.43 -53 18 12.8","Nor","VAR","--","14.01 (0.43) i"
"GDS_J1618479-532004","--","16 18 47.99 -53 20 04.0","Nor","VAR","--","14.77 (0.59) i"
"GDS_J1619001-531602","--","16 19 00.19 -53 16 02.5","Nor","VAR","--","13.87 (0.36) i"
"GDS_J1619137-521120","--","16 19 13.71 -52 11 20.0","Nor","VAR","--","14.46 (0.72) r"
"GDS_J1619163-513120","--","16 19 16.38 -51 31 20.6","Nor","VAR","--","14.19 (0.20) r"
"GDS_J1619203-532704","--","16 19 20.34 -53 27 04.2","Nor","VAR","--","14.06 (0.35) r"
"GDS_J1619294-531345","--","16 19 29.47 -53 13 45.3","Nor","VAR","--","15.04 - ? r"
"GDS_J1619306-472325","--","16 19 30.60 -47 23 25.2","Nor","VAR","--","15.46 (0.97) r"
"GDS_J1619325-472337","--","16 19 32.59 -47 23 37.2","Nor","VAR","--","14.92 (0.50) r"
"GDS_J1619464-510133","--","16 19 46.04 -51 01 33.5","Nor","VAR","--","14.76 (0.48) r"
"GDS_J1619468-532913","--","16 19 46.86 -53 29 13.9","Nor","VAR","--","15.48 (0.39) r"
"GDS_J1619472-525541","--","16 19 47.24 -52 55 41.7","Nor","VAR","--","14.85 (0.50) r"
"GDS_J1619532-501033","--","16 19 53.25 -50 10 33.8","Nor","VAR","--","16.11 (1.42) r"
"GDS_J1619556-501021","--","16 19 55.65 -50 10 21.3","Nor","VAR","--","15.80 (0.91) r"
"GDS_J1619568-500956","--","16 19 56.80 -50 09 56.8","Nor","VAR","--","14.91 (0.62) r"
"GDS_J1619576-533422","--","16 19 57.06 -53 34 22.2","Nor","VAR","--","14.88 (0.38) r"
