Name,Period,phi31_V,[Fe/H]_V
657203427346091648,0.6609336,5.1852,-1.93
670484634456082560,0.6033101,4.88034,-1.93
1220940459297407232,0.5267614,4.46782,-1.93
1270551008059102336,0.5846177,4.77533,-1.93
1306930514923721216,0.5172003,4.41979,-1.93
1330694775129784064,0.7578469,5.70592,-1.93
2111260138641873152,0.5961489,4.83597,-1.93
2499396539337329920,0.6515058,5.13337,-1.93
2700807278336665344,0.6054667,4.89145,-1.93
3815964372460155264,0.5552601,4.62404,-1.93
3896902000361602816,0.6474284,5.11281,-1.93
4417682487402538624,0.6381583,5.06575,-1.93
4435022610407573376,0.6319133,5.0308,-1.93
496563507219380224,0.6799231,5.29242,-1.92
1528538560969496064,0.6928841,5.35998,-1.92
1936068285199840128,0.6259049,5.004,-1.92
3695743083885519744,0.5834852,4.77933,-1.92
3795033278840733568,0.4718246,4.1859,-1.92
3937972676669076224,0.6519492,5.146,-1.92
671551538692639872,0.6898607,5.35411,-1.91
1195170655517185920,0.4779809,4.21997,-1.91
1730825542017171584,0.5068395,4.37331,-1.91
2509715971360114176,0.731413,5.57238,-1.91
3634926759290069248,0.6141266,4.94794,-1.91
3721900426854455424,0.5778786,4.75805,-1.91
3797319369672686592,0.626341,5.01458,-1.91
4425333988823044224,0.6020341,4.88685,-1.91
693554003315091968,0.5831444,4.78864,-1.9
1105633987693962368,0.5870262,4.81373,-1.9
1210503791842798720,0.6051982,4.90673,-1.9
1247621002294070784,0.8078856,5.99318,-1.9
1267645720376152704,0.7492,5.67561,-1.9
1561290607179399040,0.6445817,5.11987,-1.9
2106556462259590272,0.5575725,4.65584,-1.9
2507784713545431424,0.6369885,5.07892,-1.9
3363119101130537088,0.4594351,4.12786,-1.9
3960987654061481344,0.6224302,5.00097,-1.9
756572954640629248,0.5400547,4.56563,-1.89
834383541407917824,0.692099,5.37879,-1.89
921499771822529792,0.6084593,4.93298,-1.89
972437259319856384,0.5643841,4.70105,-1.89
1317162020375745792,0.6056652,4.91491,-1.89
2508075220838550016,0.5576981,4.66427,-1.89
2587784801625524352,0.6276242,5.03375,-1.89
2656624640524890240,0.6005345,4.89401,-1.89
2689818312452404992,0.5280613,4.50116,-1.89
3697186158537399424,0.6718142,5.2734,-1.89
3790530160249194240,0.565641,4.70376,-1.89
4027087402609787904,0.6284275,5.04179,-1.89
51220203721624064,0.4812219,4.25865,-1.88
600595998902787968,0.5895132,4.84148,-1.88
879302091803868160,0.5801516,4.79248,-1.88
1205945697671383808,0.691626,5.38313,-1.88
1436833999813447296,0.6787995,5.31431,-1.88
1454724187872808832,0.5454822,4.60272,-1.88
3742304961779519360,0.5884387,4.83141,-1.88
3814559364103288448,0.5661821,4.71205,-1.88
4426666253317530112,0.5855463,4.819,-1.88
63201135252058368,0.5685659,4.73157,-1.87
704898936088969984,0.5527772,4.6482,-1.87
954155610764922624,0.5453166,4.61264,-1.87
1258913983143514240,0.7112271,5.49592,-1.87
1314060160634591488,0.4959261,4.34408,-1.87
1386607415303100288,0.5937052,4.8654,-1.87
1390370936230828288,0.5060179,4.39766,-1.87
1462990385006034944,0.7369477,5.63537,-1.87
1744013290638832000,0.4713126,4.21689,-1.87
2132161064413068160,0.6872038,5.37071,-1.87
3413672034433091200,0.59081,4.85409,-1.87
3638228317830303616,0.5758235,4.77199,-1.87
3840629540712053888,0.6183605,5.00072,-1.87
320685627237234176,0.6578821,5.21759,-1.86
675237754503574784,0.65369,5.19817,-1.86
1388378556736812032,0.5460794,4.61785,-1.86
1454892172631004032,0.5977145,4.89646,-1.86
1878005550035130240,0.5694893,4.74772,-1.86
2437220148923574272,0.5523301,4.6553,-1.86
2724826998902969216,0.6338059,5.08835,-1.86
3314272163193610624,0.6288338,5.06339,-1.86
3740140126463955584,0.6755894,5.31324,-1.86
4005377618534348032,0.6512864,5.18076,-1.86
4017806016938381824,0.6674432,5.26818,-1.86
362278640287401728,0.5099412,4.438,-1.85
1191734097566667136,0.6510036,5.19168,-1.85
1730368724998872320,0.5497188,4.64572,-1.85
1730643744641402880,0.6737289,5.30916,-1.85
2545654745865659520,0.6258887,5.05377,-1.85
3205151234774283904,0.5795393,4.80903,-1.85
3529882991785403904,0.6811576,5.35255,-1.85
3722708709634867840,0.7647031,5.79247,-1.85
3879174814904863488,0.5380958,4.58911,-1.85
3899088035636281472,0.6071082,4.95348,-1.85
15489408711727488,0.6511669,5.19695,-1.84
20357148550791168,0.4853687,4.3103,-1.84
603823714068589440,0.5391714,4.59976,-1.84
670532875528604288,0.5408864,4.60938,-1.84
673097452040574976,0.6967079,5.44189,-1.84
787901618627398528,0.6469388,5.17678,-1.84
835270778572251648,0.6463412,5.17109,-1.84
1298962800833853312,0.7183097,5.55284,-1.84
1536680719450671616,0.5596635,4.70534,-1.84
2075947570380886400,0.5811298,4.82235,-1.84
2497458508359533184,0.548126,4.64873,-1.84
3706519844025669888,0.6450649,5.16666,-1.84
3867023798373308544,0.7571317,5.75993,-1.84
3870132018960919424,0.5745271,4.78505,-1.84
76956987787109376,0.6161593,5.01725,-1.83
130317455315535872,0.4879607,4.33158,-1.83
787857844320775040,0.5590531,4.71449,-1.83
1319242330735005568,0.7712433,5.84182,-1.83
1378274663353222912,0.6074156,4.9712,-1.83
2779974211480523136,0.5871567,4.85911,-1.83
3865422909443107584,0.5711659,4.77705,-1.83
3893943833046329472,0.5809282,4.83045,-1.83
4003309471522190336,0.5872654,4.86309,-1.83
4426843377770218752,0.5598065,4.71595,-1.83
706499996817231872,0.649404,5.20441,-1.82
714368170745506944,0.6824739,5.3745,-1.82
1155374072667838080,0.5369075,4.60323,-1.82
1516886864450697088,0.6184273,5.03773,-1.82
2679910510094789632,0.5642319,4.7468,-1.82
3264764624927411968,0.4972251,4.38604,-1.82
3362338581015381504,0.6198624,5.04332,-1.82
3662249073484415360,0.6687362,5.30272,-1.82
3798246498493076096,0.6215355,5.0508,-1.82
3826133514987430656,0.6494609,5.20428,-1.82
3989115944638917888,0.4516528,4.14534,-1.82
4444034860543590016,0.4865149,4.33194,-1.82
4456432403902651264,0.5797708,4.82727,-1.82
6897755139944897024,0.7974771,5.98905,-1.82
76878853742140800,0.5068597,4.44578,-1.81
348128166158130688,0.6237008,5.07073,-1.81
355144665252064512,0.5032448,4.4255,-1.81
576582596231278592,0.5753502,4.81597,-1.81
594418049223474816,0.5085752,4.45648,-1.81
1157453691537124480,0.5244619,4.54418,-1.81
1199991739128715264,0.5943806,4.91229,-1.81
1331030023097149952,0.5631242,4.74555,-1.81
1527821060913672576,0.6898194,5.42274,-1.81
2101971601853190912,0.683632,5.38892,-1.81
3697413482565855232,0.5318927,4.581,-1.81
3741275539722260096,0.6098987,4.99492,-1.81
3991169076445420672,0.5492385,4.67093,-1.81
4016773433785689984,0.6732464,5.33816,-1.81
641523085862046464,0.5991316,4.94872,-1.8
657680512312286848,0.6004419,4.95582,-1.8
1406122200508394880,0.6211699,5.06506,-1.8
1426385924930131712,0.6296028,5.10919,-1.8
1554322589678566400,0.533472,4.59464,-1.8
2119119619555858944,0.5942344,4.92032,-1.8
2704002901507897472,0.5635324,4.75591,-1.8
3692569584089297536,0.5898198,4.89737,-1.8
4567682192993492608,0.5562335,4.71837,-1.8
373700435798463360,0.5509203,4.69648,-1.79
735359286532013440,0.6612295,5.28805,-1.79
868720808507753216,0.6111684,5.01922,-1.79
984620397910357376,0.6623965,5.29016,-1.79
1199020423684197376,0.6572926,5.26725,-1.79
1374971558625266432,0.6222859,5.07989,-1.79
1488328046352354304,0.7308934,5.65853,-1.79
1506445902034177536,0.6157661,5.04527,-1.79
3072937504154247296,0.6408995,5.17505,-1.79
3905987196222446592,0.58951,4.90399,-1.79
4416830537690044416,0.6402514,5.17207,-1.79
749445924564533632,0.5148278,4.5136,-1.78
1308626541672436992,0.562038,4.76447,-1.78
1528760799757778048,0.6539402,5.2552,-1.78
1799727675123571072,0.5720028,4.81483,-1.78
3991834418418680960,0.5628917,4.76388,-1.78
4020530636816415616,0.5100927,4.4861,-1.78
6680420204104678272,0.552951,4.7109,-1.78
31755549372595584,0.514686,4.51398,-1.77
371554704495440000,0.5432535,4.6724,-1.77
625176509053140352,0.6326053,5.15001,-1.77
715169646002569856,0.6001635,4.97047,-1.77
1032533743099023360,0.5754115,4.83923,-1.77
1046279635606572800,0.697847,5.49252,-1.77
1274392358084656256,0.5266649,4.58171,-1.77
1459066056208131072,0.6031254,4.9915,-1.77
1488671437577394816,0.595075,4.94766,-1.77
2845808982023145472,0.568949,4.80883,-1.77
3634061271840225792,0.7393313,5.71686,-1.77
3704951425047862656,0.6521682,5.25109,-1.77
3716785674856051456,0.5612944,4.76633,-1.77
3798974237751712256,0.6458495,5.21882,-1.77
3824667006994369536,0.703726,5.52659,-1.77
3960906320265637888,0.5865874,4.89776,-1.77
4408023483915705088,0.6109105,5.03126,-1.77
4501481182001214464,0.6544722,5.2655,-1.77
380026097990259840,0.6488717,5.24208,-1.76
416406566937480576,0.6180878,5.0762,-1.76
655274162396721536,0.5139119,4.52087,-1.76
1082677146977999872,0.5565439,4.74512,-1.76
1163468196235180160,0.6191591,5.08263,-1.76
1309195813818240640,0.5869823,4.91298,-1.76
1347991811022079104,0.570888,4.82221,-1.76
1424627973340406400,0.612633,5.04868,-1.76
1471878287249220352,0.5276015,4.59078,-1.76
1580506634458411136,0.6185864,5.07898,-1.76
1770039418063209600,0.600486,4.98364,-1.76
2694262091775046784,0.5153799,4.52571,-1.76
2820090954076344960,0.5312457,4.61335,-1.76
3652145592417387392,0.5208154,4.55726,-1.76
3861207862898346624,0.643608,5.20944,-1.76
3916615006896859904,0.6793129,5.4024,-1.76
4408089145376746624,0.5973308,4.96398,-1.76
5220712930756225024,0.609899,5.03579,-1.76
5625333351521002240,0.827097,6.1935,-1.76
639974148856711424,0.586002,4.91316,-1.75
704065849871997568,0.5337227,4.63106,-1.75
1587405932484635264,0.5717454,4.83858,-1.75
2090065230954282112,0.665789,5.33853,-1.75
2643864395767909376,0.5875183,4.91794,-1.75
2737233514449351680,0.4967266,4.43505,-1.75
3873702506878658560,0.5793208,4.87518,-1.75
3976785295394882688,0.6267503,5.12872,-1.75
4423520928509728512,0.647078,5.23543,-1.75
626296292926655360,0.6142971,5.06679,-1.74
679848144197306624,0.530007,4.61716,-1.74
955499832449893760,0.6718626,5.37695,-1.74
1166661173706401024,0.5211551,4.57356,-1.74
1888139302034656000,0.5176526,4.5562,-1.74
2513095590930803968,0.5951508,4.96701,-1.74
2608819623000543744,0.6088753,5.04361,-1.74
3229631792446897408,0.4953133,4.43197,-1.74
3638225496036409856,0.6139172,5.07026,-1.74
3663406721789516544,0.6636069,5.33396,-1.74
5021251939406481280,0.5798512,4.88321,-1.74
56854857216208512,0.605788,5.03414,-1.73
132464045609636736,0.5953173,4.97488,-1.73
315994732676069376,0.5915312,4.95265,-1.73
386583860216531584,0.5592507,4.78014,-1.73
604767752175631744,0.5579956,4.77457,-1.73
623022630198845056,0.5243847,4.59518,-1.73
1054448079287973888,0.5694101,4.83805,-1.73
1265474631587787904,0.6814793,5.43248,-1.73
2719511895270989824,0.604406,5.02185,-1.73
3393560661091267072,0.5726294,4.85318,-1.73
3945591467616528640,0.7194042,5.64003,-1.73
4417888542753226112,0.7140941,5.60899,-1.73
4571132529200188288,0.8059346,6.10018,-1.73
5476074235725080448,0.6179439,5.09504,-1.73
18268974106572416,0.5541744,4.75948,-1.72
371836351270855424,0.648039,5.26189,-1.72
737822540470594304,0.5425706,4.69748,-1.72
838004782954645504,0.5783148,4.8884,-1.72
885094117193035008,0.5491551,4.73838,-1.72
1330968484805659392,0.5611169,4.79883,-1.72
1597413515521704448,0.6452519,5.2465,-1.72
1783805063124879616,0.7372861,5.74278,-1.72
1806844229786970368,0.4963604,4.45384,-1.72
1810698430347027840,0.5273945,4.62207,-1.72
2710315373857215616,0.6110453,5.0636,-1.72
3683700682781785984,0.7379887,5.74431,-1.72
4424680157358824960,0.6351109,5.19311,-1.72
4492918013644824448,0.5848905,4.92372,-1.72
447017447391379456,0.6070804,5.04957,-1.71
605046444013475584,0.5643081,4.82483,-1.71
706631285377114752,0.6229796,5.13447,-1.71
892738540505143936,0.6663587,5.37008,-1.71
929161611225079040,0.5214199,4.59384,-1.71
934167726322258176,0.5014012,4.48567,-1.71
1045837563212574848,0.6111702,5.0768,-1.71
1196737700107586176,0.6529831,5.29468,-1.71
1236047714698428288,0.4865161,4.4111,-1.71
1384060259179147392,0.5270244,4.62192,-1.71
1464633673853078528,0.6155337,5.09638,-1.71
2568079148073936896,0.5760807,4.88958,-1.71
2847052014277106304,0.5867942,4.94557,-1.71
3961180206035332736,0.5399741,4.69696,-1.71
3994607794765931520,0.6308728,5.18038,-1.71
4387211137548084352,0.7376572,5.74717,-1.71
65799212510085504,0.58804,4.95977,-1.7
680915598189205888,0.5636207,4.82416,-1.7
734933981690515584,0.5624404,4.82142,-1.7
956802749432651264,0.5937379,4.98921,-1.7
1058066262817534336,0.6604071,5.34566,-1.7
1354588296672698368,0.6822884,5.4588,-1.7
2381771781829913984,0.6337409,5.19879,-1.7
4584558287730260864,0.5252275,4.62539,-1.7
289092844240061440,0.5580031,4.80292,-1.69
